"","Name","Event","Year","Date","Elo","dElo"
"10910","Heather Young","HOFC",2019,2019-10-11,1565.8,6.7
"10923","Jennifer Allen","Memorial",2020,2020-02-27,1642.9,16.1
"10927","Kona Star Panis","Memorial",2020,2020-02-27,1586.2,6.9
"10928","Paige Pierce","Memorial",2020,2020-02-27,1796.8,11.6
"10932","Rebecca Cox","Memorial",2020,2020-02-27,1670.9,-1.2
"10942","Catrina Allen","Memorial",2020,2020-02-27,1736.9,-12.4
"10948","Jessica Weese","Memorial",2020,2020-02-27,1642.2,-13.7
"10961","Henna Blomroos","Memorial",2020,2020-02-27,1664.6,14.6
"10962","Madison Walker","Memorial",2020,2020-02-27,1620.9,-16.8
"10971","Eveliina Salonen","Memorial",2020,2020-02-27,1670.6,6.6
"11003","Hailey King","Memorial",2020,2020-02-27,1633.4,5.6
"11007","Missy Gannon","Memorial",2020,2020-02-27,1603.5,0.4
"11043","Kona Star Panis","Waco",2020,2020-03-12,1603.1,16.9
"11044","Paige Pierce","Waco",2020,2020-03-12,1792.9,-4
"11047","Lisa Fajkus","Waco",2020,2020-03-12,1663.8,-0.3
"11048","Rebecca Cox","Waco",2020,2020-03-12,1679.8,8.9
"11052","Sarah Hokom","Waco",2020,2020-03-12,1731.5,5
"11058","Catrina Allen","Waco",2020,2020-03-12,1741.8,4.9
"11064","Jessica Weese","Waco",2020,2020-03-12,1646.9,4.7
"11077","Henna Blomroos","Waco",2020,2020-03-12,1674.1,9.5
"11080","Emily Beach","Waco",2020,2020-03-12,1548.6,3.6
"11083","Valerie Mandujano","Waco",2020,2020-03-12,1563.9,21.9
"11087","Eveliina Salonen","Waco",2020,2020-03-12,1686.8,16.2
"11119","Hailey King","Waco",2020,2020-03-12,1642.7,9.3
"11123","Missy Gannon","Waco",2020,2020-03-12,1617.5,14
"11137","Kat Mertsch","Waco",2020,2020-03-12,1489.8,1.3
"11139","Heather Young","Waco",2020,2020-03-12,1580.7,21.5
"11159","Kona Star Panis","DDO",2020,2020-06-26,1596,-7.1
"11160","Paige Pierce","DDO",2020,2020-06-26,1800.4,7.5
"11164","Rebecca Cox","DDO",2020,2020-06-26,1659.8,-20
"11174","Catrina Allen","DDO",2020,2020-06-26,1734.4,-7.4
"11239","Missy Gannon","DDO",2020,2020-06-26,1629.4,11.9
"11309","Henna Blomroos","Helsinki",2020,2020-06-26,1684.1,10
"11319","Eveliina Salonen","Helsinki",2020,2020-06-26,1696.9,10.1
"11323","Heidi Laine","Helsinki",2020,2020-06-26,1561.9,3.8
"11391","Kona Star Panis","Preserve",2020,2020-07-03,1600,4
"11392","Paige Pierce","Preserve",2020,2020-07-03,1809.6,9.2
"11395","Lisa Fajkus","Preserve",2020,2020-07-03,1651.2,-12.6
"11396","Rebecca Cox","Preserve",2020,2020-07-03,1653.9,-5.9
"11400","Sarah Hokom","Preserve",2020,2020-07-03,1730.1,-1.5
"11406","Catrina Allen","Preserve",2020,2020-07-03,1739.5,5.1
"11412","Jessica Weese","Preserve",2020,2020-07-03,1637.6,-9.3
"11471","Missy Gannon","Preserve",2020,2020-07-03,1640.9,11.5
